object_index,image_id,class_id,conflict_score,high_conflict
0,00000,0,0.02347579796,0
1,00000,0,0.03086763505,1
2,00000,0,0.0534934406,1
3,00000,0,0.008917882845,0
4,00000,1,0.009363190178,0
5,00000,1,0.009487466969,0
6,00000,1,0.01077958363,0
7,00000,1,0.01189296046,0
8,00000,1,0.009985738817,0
9,00000,1,0.006145245704,0
10,00000,1,0.0117303634,0
11,00011,1,0.00897712678,0
12,00011,1,0.009497565986,0
13,00011,1,0.01146357761,0
14,00011,1,0.01225586305,0
15,00011,1,0.01267014716,0
16,00011,1,0.01050813975,0
17,00011,1,0.006112801181,0
18,00011,1,0.0119624341,0
19,00011,0,0.008146643477,0
20,00011,0,0.02664979672,0
21,00011,0,0.05124699025,1
22,00011,0,0.01916309318,0
23,00025,1,0.004585204446,0
24,00025,1,0.005670354176,0
25,00025,1,0.005398688043,0
26,00025,1,0.017519906,0
27,00025,1,0.03403091369,1
28,00025,1,0.01823283844,0
29,00025,1,0.0185496889,0
30,00025,1,0.01261432143,0
31,00025,1,0.01317341044,0
32,00025,1,0.008392393016,0
33,00025,0,0.01878083739,0
34,00025,0,0.02242556415,0
35,00025,0,0.02071306617,0
36,00025,0,0.01847709627,0
37,00031,1,0.007917279299,0
38,00031,1,0.006114207757,0
39,00031,1,0.006138947476,0
40,00031,1,0.005604134617,0
41,00031,1,0.01775395527,0
42,00031,1,0.02719637952,0
43,00031,1,0.01785939348,0
44,00031,1,0.0151416116,0
45,00031,1,0.01325315151,0
46,00031,1,0.01020484936,0
47,00031,1,0.00973016396,0
48,00031,1,0.01002531052,0
49,00031,0,0.01993062472,0
50,00033,0,0.02390195587,0
51,00033,0,0.03473951798,1
52,00033,0,0.03622489175,1
53,00033,0,0.006609044288,0
54,00033,0,0.01443298191,0
55,00033,1,0.006748586375,0
56,00033,1,0.01193271124,0
57,00033,1,0.009682140185,0
58,00033,1,0.0145795322,0
59,00033,1,0.01568955674,0
60,00033,1,0.01157296196,0
61,00033,1,0.006364569996,0
62,00033,1,0.01073358092,0
63,00042,1,0.005886804489,0
64,00042,1,0.00715709886,0
65,00042,1,0.01038154839,0
66,00042,1,0.01059296917,0
67,00042,1,0.01091455972,0
68,00042,1,0.01467516301,0
69,00042,1,0.01727415063,0
70,00042,1,0.03471102855,1
71,00042,1,0.009407207136,0
72,00042,0,0.03350717931,1
73,00061,3,0.007902649332,0
74,00061,1,0.02937705824,0
75,00061,2,0.02432135572,0
